food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R106-217007801-0000,삼채_잎_생것,100g,24,1.95,0.20,4.80,1.82,농진청
R106-217007901-0000,삼채_줄기_생것,100g,19,0.78,0.09,4.65,1.31,농진청
R106-219007801-0000,모시풀_잎_생것,100g,64,6.61,0.71,11.85,0.00,농진청
R106-219007846-0000,모시풀_잎_삶은것,100g,49,6.09,1.02,7.24,0.00,농진청
R106-219017801-0000,모시풀_재래종_잎_생것,100g,51,4.40,1.36,8.13,1.13,농진청
R106-220000000-0000,퉁퉁마디환(함초환),100g,262,9.28,6.14,52.60,0.94,농진청
R106-221007801-0000,배초향(방아)_잎_생것,100g,55,4.87,0.46,11.13,1.52,농진청
R106-222000020-0000,쌈무_초절임_식초에 절인것,100g,15,0.54,0.03,3.10,1.46,농진청
R106-223010001-0000,퉁퉁마디(함초)_노지_생것,100g,19,1.40,0.15,3.97,0.00,농진청
R106-223020001-0000,퉁퉁마디(함초)_하우스_생것,100g,19,1.34,0.15,4.13,0.00,농진청
R106-224012601-0000,구기자_재래종_순_생것,100g,50,6.27,1.08,7.05,0.78,농진청
R106-224017801-0000,구기자_재래종_잎_생것,100g,56,6.33,1.57,7.77,0.24,농진청
R106-225007801-0000,모링가_잎_생것,100g,66,4.21,1.38,12.43,2.15,농진청
R106-226007601-0000,초석잠_뿌리_생것,100g,76,2.30,0.56,17.00,0.17,농진청
R106-227000001-0000,삼붕냐와_생것,100g,27,1.62,1.09,3.84,0.24,농진청
R106-228002501-0000,울금_뿌리줄기_생것,100g,87,1.79,2.56,15.73,3.83,농진청
R106-229007801-0000,배암차즈기(곰보배추)_잎_생것,100g,25,1.73,0.62,4.50,1.44,농진청
R106-230007601-0000,백합_뿌리_생것,100g,118,3.34,1.52,24.91,0.44,농진청
R106-232000001-0000,루꼴라_생것,100g,26,3.17,0.43,4.20,0.97,농진청
R106-234000001-0000,아티초크_생것,100g,47,3.27,0.15,10.51,0.99,농진청
R106-234000008-0000,아티초크_얼린것,100g,38,2.63,0.43,7.75,,농진청
R106-234000046-0000,아티초크_삶은것,100g,53,2.89,0.34,11.95,0.99,농진청
R106-234000088-0000,아티초크_얼린것을 삶은것,100g,45,3.11,0.50,9.18,0.84,농진청
R106-235000001-0000,뽕잎_생것,100g,65,6.28,0.50,12.82,2.47,농진청
R106-235000004-0000,뽕잎_삶아서 말린것,100g,279,26.22,2.98,53.22,0.00,농진청
R106-235000046-0000,뽕잎_삶은것,100g,48,4.86,0.53,9.00,0.41,농진청
R106-235000085-0000,뽕잎_삶아서 말린것을 삶은것,100g,51,5.90,0.55,8.92,0.10,농진청
R106-236003801-0000,경수채_어린잎_생것,100g,26,1.68,0.24,5.57,2.10,농진청
R106-237003801-0000,적양무_어린잎_생것,100g,19,2.54,0.42,2.54,0.22,농진청
R106-014030083-0000,고려엉겅퀴(곤드레)_재배_말린것을 삶은 것,100g,40,3.8,0.92,6.32,0,농진청
R106-021002801-0000,고추냉이_잎줄기_생것,100g,27,1.93,0.41,5.35,1.06,농진청
R106-043007651-0000,더덕_뿌리_구운것(팬),100g,86,3.45,0.74,18.17,6.61,농진청
R106-053002200-0000,마늘_구근_다진것,100g,99,5,0.27,20.55,2.11,농진청
R106-091060001-0000,부추_솔부추_생것,100g,21,1.58,0.25,4.32,1.69,농진청
R106-091060047-0000,부추_솔부추_데친것,100g,24,1.53,0.35,4.81,1.69,농진청
R106-101183601-0000,상추_모스트청쌈_청쌍추_생것,100g,15,1.6,0.3,2.36,0.5,농진청
R106-101193601-0000,상추_버터헤드_청쌍추_생것,100g,11,1.05,0.18,2.09,1.07,농진청
R106-198060046-0000,호박_쥬키니_삶은것,100g,12,0.82,0.07,2.52,1.35,농진청
R107-001000001-0000,검은비늘버섯_생것,100g,13,1.80,0.10,4.50,,농진청
R107-001000002-0000,검은비늘버섯_말린것,100g,177,20.10,2.70,62.10,,농진청
R107-002000001-0000,나도팽나무버섯_생것,100g,16,2.40,0.00,5.70,,농진청
R107-002000002-0000,나도팽나무버섯_말린것,100g,182,23.60,0.50,66.10,,농진청
R107-003000001-0000,노루궁뎅이버섯_생것,100g,13,2.57,0.41,2.89,0.54,농진청
R107-003000002-0000,노루궁뎅이버섯_말린것,100g,179,24.50,3.20,57.80,,농진청
R107-003000047-0000,노루궁뎅이버섯_데친것,100g,18,3.28,0.40,4.68,0.12,농진청
R107-004000001-0000,느타리버섯_생것,100g,15,2.60,0.14,4.70,0.74,농진청
R107-004000002-0000,느타리버섯_말린것,100g,189,25.10,3.90,60.72,,농진청
R107-004000034-0000,느타리버섯_말린것(자연건조),100g,182,25.36,2.98,58.92,,농진청
R107-004000047-0000,느타리버섯_데친것,100g,21,3.26,0.23,6.51,0.01,농진청
R107-004010001-0000,느타리버섯_노랑느타리버섯_생것,100g,16,2.50,0.10,5.30,,농진청
R107-004020001-0000,느타리버섯_분홍느타리버섯_생것,100g,24,4.10,0.00,8.10,,농진청
R107-004030001-0000,느타리버섯_여름느타리버섯_생것,100g,21,4.40,0.10,6.00,,농진청
R107-004040001-0000,느타리버섯_참타리버섯_생것,100g,16,2.60,0.00,5.30,,농진청
R107-004040047-0000,느타리버섯_참타리버섯_데친것,100g,20,3.90,0.00,6.10,,농진청
R107-004050001-0000,느타리버섯_청느타리버섯_생것,100g,18,3.90,0.00,5.20,,농진청
R107-005000001-0000,능이버섯(향버섯)_생것,100g,17,2.20,0.10,5.90,,농진청
R107-006010001-0000,동충하초_누에동충하초_생것,100g,27,5.56,0.38,7.07,0.33,농진청
R107-006010002-0000,동충하초_누에동충하초_말린것,100g,133,60.90,2.40,0.00,,농진청
R107-007000001-0000,만가닥버섯_생것,100g,19,2.50,0.34,6.34,0.37,농진청
R107-007000047-0000,만가닥버섯_데친것,100g,19,2.73,0.35,6.07,0.11,농진청
R107-008000001-0000,목이버섯_생것,100g,13,0.79,0.19,5.22,0.12,농진청
R107-008000002-0000,목이버섯_말린것,100g,169,11.88,1.26,69.66,1.57,농진청
R107-008000034-0000,목이버섯_말린것(자연건조),100g,183,14.10,1.99,72.78,1.67,농진청
R107-008000047-0000,목이버섯_데친것,100g,13,1.15,0.23,4.84,0.00,농진청
R107-008010001-0000,목이버섯_흰백목이_생것,100g,28,1.20,0.55,11.58,0.18,농진청
R107-008010047-0000,목이버섯_흰백목이_데친것,100g,18,1.02,0.43,7.01,0.10,농진청
R107-009000001-0000,밤버섯_생것,100g,17,2.90,0.90,3.50,,농진청
R107-010000001-0000,버들송이버섯_생것,100g,20,4.20,0.10,5.50,,농진청
R107-010003902-0000,버들송이버섯_갓_말린것,100g,191,23.30,4.70,61.60,,농진청
R107-010007902-0000,버들송이버섯_줄기_말린것,100g,183,14.30,2.70,71.10,,농진청
R107-011013902-0000,뽕나무버섯_야생_갓_말린것,100g,195,27.70,6.90,54.40,,농진청
R107-011017902-0000,뽕나무버섯_야생_줄기_말린것,100g,180,15.80,0.90,72.20,,농진청
R107-011023902-0000,뽕나무버섯_재배_갓_말린것,100g,192,24.40,5.70,58.60,,농진청
R107-011027902-0000,뽕나무버섯_재배_줄기_말린것,100g,182,12.80,0.60,76.60,,농진청
R107-012000002-0000,상황버섯_말린것,100g,179,4.40,0.27,84.58,0.00,농진청
R107-012000024-0000,상황버섯_추출,100ml,3,0.07,0.01,0.56,0.12,농진청
R107-013000002-0000,석이버섯_말린것,100g,165,11.75,0.96,68.47,0.33,농진청
R107-014000001-0000,송이버섯_생것,100g,21,2.05,0.15,8.12,0.31,농진청
R107-014000047-0000,송이버섯_데친것,100g,22,2.15,0.24,8.51,1.22,농진청
R107-015000001-0000,싸리버섯_생것,100g,20,2.80,0.60,5.70,,농진청
R107-015000002-0000,싸리버섯_말린것,100g,179,19.90,4.80,58.90,,농진청
R107-016000001-0000,아위버섯_생것,100g,26,3.53,0.40,8.56,0.59,농진청
R107-016000047-0000,아위버섯_데친것,100g,27,3.62,0.43,8.69,0.01,농진청
R107-017000001-0000,애느타리버섯_생것,100g,16,4.20,0.10,3.50,,농진청
R107-018000001-0000,양송이버섯_생것,100g,15,3.12,0.23,3.89,0.77,농진청
R107-018000006-0000,양송이버섯_분말화한것,100g,176,33.39,3.57,46.49,1.93,농진청
R107-018000034-0000,양송이버섯_말린것(자연건조),100g,166,40.82,3.52,34.09,0.52,농진청
R107-018000047-0000,양송이버섯_데친것,100g,15,3.15,0.26,3.63,0.89,농진청
R107-018010001-0000,양송이버섯_갈색양송이_생것,100g,15,3.73,0.20,3.24,0.59,농진청
R107-018010047-0000,양송이버섯_갈색양송이_데친것,100g,14,2.94,0.31,3.50,0.37,농진청
R107-019000002-0000,영지버섯_말린것,100g,187,9.41,1.40,81.03,0.00,농진청
R107-019000024-0000,영지버섯_추출,100ml,0,0.07,0.01,0.03,0.00,농진청
R107-020000001-0000,율무느타리버섯_생것,100g,21,3.60,0.30,6.40,,농진청
R107-021000001-0000,잎새버섯_생것,100g,13,2.20,0.50,3.29,0.14,농진청
R107-021000047-0000,잎새버섯_데친것,100g,16,2.26,0.57,4.46,0.00,농진청
R107-023000001-0000,큰느타리버섯(새송이버섯)_생것,100g,20,2.91,0.19,6.56,0.33,농진청
R107-023000002-0000,큰느타리버섯(새송이버섯)_말린것,100g,179,25.05,2.07,59.81,4.88,농진청
R107-023000006-0000,큰느타리버섯(새송이버섯)_분말화한것,100g,184,25.09,2.51,61.40,,농진청
R107-023000034-0000,큰느타리버섯(새송이버섯)_말린것(자연건조),100g,171,26.23,2.09,54.68,4.69,농진청
R107-023000047-0000,큰느타리버섯(새송이버섯)_데친것,100g,21,3.24,0.27,6.64,0.06,농진청
R107-025000001-0000,팽이버섯_생것,100g,21,2.48,0.52,7.08,0.37,농진청
R107-025000047-0000,팽이버섯_데친것,100g,21,2.60,0.46,6.71,0.06,농진청
R107-025050001-0000,팽이버섯_갈색팽이_생것,100g,21,3.06,0.60,6.13,0.65,농진청
R107-025050047-0000,팽이버섯_갈색팽이_데친것,100g,21,3.01,0.37,6.59,0.18,농진청
R107-026000001-0000,포타벨라_생것,100g,16,3.30,0.10,4.60,,농진청
R107-027000006-0000,표고버섯_분말화한것,100g,186,18.84,2.54,68.25,4.61,농진청
R107-027003901-0000,표고버섯_갓_생것,100g,26,4.44,0.32,8.03,0.40,농진청
R107-027003902-0000,표고버섯_갓_말린것,100g,183,31.84,2.93,53.29,3.30,농진청
R107-027003947-0000,표고버섯_갓_데친것,100g,21,4.71,0.30,4.98,0.96,농진청
R107-027003983-0000,표고버섯_갓_말린것을 삶은것,100g,24,4.06,0.43,6.80,0.82,농진청
R107-027004001-0000,표고버섯_대_생것,100g,39,4.59,0.33,14.02,0.66,농진청
R107-027004002-0000,표고버섯_대_말린것,100g,180,21.14,1.61,65.35,4.69,농진청
R107-027004047-0000,표고버섯_대_데친것,100g,32,3.25,0.24,12.36,0.88,농진청
R107-027004083-0000,표고버섯_대_말린것을 삶은것,100g,31,2.91,0.34,11.80,0.46,농진청
R107-027007101-0000,표고버섯_전체_생것,100g,22,2.74,0.38,7.38,0.43,농진청
R107-027007102-0000,표고버섯_전체_말린것,100g,180,21.37,2.49,62.88,3.37,농진청
R107-027007134-0000,표고버섯_전체_말린것(자연건조),100g,174,23.56,1.99,58.78,0.19,농진청
R107-027007147-0000,표고버섯_전체_데친것,100g,20,2.49,0.34,6.93,0.06,농진청
R107-027007183-0000,표고버섯_전체_말린것을 삶은것,100g,27,2.90,0.41,9.67,0.08,농진청
R107-027020001-0000,표고버섯_재배_생것,100g,18,2.00,0.30,6.10,,농진청
R107-027020002-0000,표고버섯_재배_말린것,100g,178,18.10,3.10,63.70,,농진청
R107-027020047-0000,표고버섯_재배_데친것,100g,18,2.40,0.20,6.30,,농진청
R107-027020083-0000,표고버섯_재배_말린것을 삶은것,100g,35,3.00,0.70,13.00,,농진청
R107-028000001-0000,풀버섯_생것,100g,15,2.70,0.10,4.60,,농진청
R107-031000001-0000,꽃송이버섯_생것,100g,19,1.11,0.39,7.35,0.89,농진청
R107-031000002-0000,꽃송이버섯_말린것,100g,182,15.18,4.14,66.49,0.45,농진청
R107-031000047-0000,꽃송이버섯_데친것,100g,22,0.87,0.49,8.99,0.30,농진청
R107-031000034-0000,꽃송이버섯_말린것(자연건조),100g,173,19.59,2.34,61.65,0.44,농진청
R107-018000002-0000,양송이버섯_말린것,100g,180,31.34,2.59,53.02,1.21,농진청
R108-001010001-0000,감_단감_생것,100g,57,0.38,0.12,15.13,11.42,농진청
R108-001020001-0000,감_대봉(갑주백목)_생것,100g,68,0.56,0.05,18.19,13.47,농진청
R108-001040001-0000,감_연시_생것,100g,69,0.54,0.08,18.41,13.44,농진청
R108-001040008-0000,감_연시_얼린것,100g,66,0.00,0.04,18.36,10.35,농진청
R108-005000002-0000,감말랭이_말린것,100g,236,1.83,0.12,63.57,29.46,농진청
R108-006000002-0000,곶감_말린것,100g,219,1.76,0.07,58.93,27.00,농진청
R108-007000001-0000,구아바_생것,100g,33,0.60,0.10,9.90,3.50,농진청
R108-010010001-0000,귤_한라봉_생것,100g,50,0.99,0.11,12.80,10.17,농진청
R108-010020001-0000,귤_온주밀감_생것,100g,39,0.53,0.10,10.04,7.99,농진청
R108-010030001-0000,귤_임온주_생것,100g,43,1.00,0.10,10.80,,농진청
R108-010060001-0000,귤_천혜향_생것,100g,41,0.82,0.08,10.56,8.37,농진청
R108-010070001-0000,귤_궁천조생+노지_생것,100g,39,0.29,0.16,10.16,8.19,농진청
R108-010080001-0000,귤_궁천조생+하우스_생것,100g,42,0.69,0.09,10.78,8.76,농진청
R108-010090001-0000,귤_유라조생+하우스_생것,100g,39,0.55,0.08,10.17,9.05,농진청
R108-010100001-0000,귤_일남1호_생것,100g,33,0.49,0.08,8.48,7.35,농진청
R108-010110001-0000,귤_하례조생+노지_생것,100g,37,0.40,0.08,9.74,7.85,농진청
R108-010120001-0000,귤_하례조생+하우스_생것,100g,44,0.71,0.14,11.18,9.23,농진청
R108-010130001-0000,귤_흥진조생_생것,100g,40,0.48,0.14,10.41,8.39,농진청
R108-010140001-0000,귤_레드향_생것,100g,48,0.59,0.12,12.39,10.44,농진청
R108-010150001-0000,귤_황금향_생것,100g,40,0.40,0.13,10.30,8.39,농진청
R108-010160001-0000,귤_신예감_생것,100g,34,0.29,0.41,8.20,6.70,농진청
R108-013004400-0000,귤 주스_천연과즙,100g,39,0.20,0.10,10.40,,농진청
R108-014000001-0000,금귤_생것,100g,73,1.19,0.13,18.77,11.77,농진청
R108-015000001-0000,다래_생것,100g,67,1.60,0.40,16.20,,농진청
R108-016000001-0000,대추_생것,100g,105,1.45,0.10,27.56,24.34,농진청
R108-016000002-0000,대추_말린것,100g,276,3.73,0.25,72.57,59.09,농진청
R108-017000002-0000,대추야자_말린것,100g,281,2.20,0.20,71.30,59.00,농진청
R108-018000001-0000,두리안_생것,100g,140,2.30,3.30,27.10,,농진청
R108-019010001-0000,딸기_개량종_생것,100g,33,0.75,0.14,8.15,6.14,농진청
R108-019010002-0000,딸기_개량종_말린것,100g,306,6.97,1.29,75.48,45.80,농진청
R108-019020001-0000,딸기_설향_생것,100g,34,0.74,0.14,8.33,6.61,농진청
R108-022000001-0000,라임_생것,100g,30,0.70,0.20,10.54,1.69,농진청
R108-023004400-0000,라임 주스_천연과즙,100g,25,0.42,0.07,8.42,1.69,농진청
R108-024000001-0000,레몬_생것,100g,36,0.71,0.08,9.27,1.87,농진청
R108-026000001-0000,롱안_생것,100g,60,1.31,0.10,15.14,,농진청
R108-026000002-0000,롱안_말린것,100g,286,4.90,0.40,74.00,,농진청
R108-027000001-0000,리치_생것,100g,61,1.00,0.10,16.40,14.90,농진청
R108-027000008-0000,리치_얼린것,100g,56,0.85,0.08,14.47,12.21,농진청
R108-028000001-0000,망고_생것,100g,61,0.72,0.10,15.97,13.66,농진청
R108-028010001-0000,망고_애플망고_생것,100g,57,0.54,1.14,12.56,11.62,농진청
R108-029000001-0000,매실_생것,100g,41,1.10,1.10,7.80,,농진청
R108-029010001-0000,매실_선암매_생것,100g,39,1.20,0.70,8.00,,농진청
R108-029020001-0000,매실_천매_생것,100g,37,0.70,0.60,8.10,,농진청
R108-029030001-0000,매실_남고_생것,100g,26,0.94,0.77,6.24,2.76,농진청
R108-031000018-0000,매실 절임_당류에 절인것,100g,216,1.86,0.52,51.08,33.85,농진청
R108-031000019-0000,매실 절임_소금에 절인것,100g,29,0.90,0.70,8.60,0.90,농진청
R108-032004201-0000,머루_껍질+씨포함_생것,100g,79,1.51,0.94,18.32,7.39,농진청
R108-032014201-0000,머루_개량종_껍질+씨포함_생것,100g,83,1.60,1.83,17.27,10.92,농진청
R108-032030001-0000,머루_머스켓베일리에이_생것,100g,76,0.34,0.75,18.96,16.86,농진청
R108-032044201-0000,머루_왕머루_껍질+씨포함_생것,100g,87,1.58,1.27,19.67,8.41,농진청
R108-034010001-0000,멜론_감로_생것,100g,21,0.50,0.10,5.10,,농진청
R108-034020001-0000,멜론_머스크_생것,100g,40,1.50,0.04,9.64,8.08,농진청
R108-034030001-0000,멜론_화이트_생것,100g,38,0.70,0.10,9.60,,농진청
R108-035000001-0000,모과_생것,100g,78,0.70,0.40,20.00,,농진청
R108-036010001-0000,무화과_승정도후인_생것,100g,52,0.74,0.09,13.47,11.28,농진청
R108-036010002-0000,무화과_승정도후인_말린것,100g,254,5.10,0.90,63.60,,농진청
R108-036020001-0000,무화과_봉래시_생것,100g,45,0.82,0.11,11.51,10.77,농진청
R108-036030002-0000,무화과_수입산_말린것,100g,319,4.75,3.01,77.22,58.92,농진청
R108-037000001-0000,바나나_생것,100g,77,1.11,0.20,20.00,14.40,농진청
R108-037000002-0000,바나나_말린것,100g,314,3.80,0.40,78.50,53.90,농진청
R108-038000001-0000,배_생것,100g,45,0.29,0.04,12.24,8.30,농진청
R108-038010001-0000,배_돌배_생것,100g,45,0.30,0.22,11.61,5.24,농진청
R108-038040001-0000,배_신고_생것,100g,46,0.30,0.04,12.40,9.81,농진청
R108-038090001-0000,배_만풍_생것,100g,44,0.26,0.04,11.98,9.85,농진청
R108-038100001-0000,배_원황_생것,100g,46,0.29,0.04,12.34,5.23,농진청
R108-039000000-0000,배 과즙,100g,52,0.30,0.50,13.00,,농진청
R108-041000001-0000,버찌_생것,100g,60,1.70,0.10,14.90,,농진청
R108-042000001-0000,복분자_생것,100g,88,1.52,2.20,17.96,8.06,농진청
R108-043020001-0000,복숭아_백도_생것,100g,49,0.59,0.04,13.10,9.45,농진청
R108-043070001-0000,복숭아_천도_생것,100g,39,0.79,0.24,9.44,7.30,농진청
R108-043080001-0000,복숭아_황도_생것,100g,49,0.40,0.04,13.03,9.29,농진청
R108-043090001-0000,복숭아_천중도_생것,100g,49,0.74,0.79,11.18,10.21,농진청
R108-046000001-0000,블랙베리_생것,100g,43,0.67,1.13,8.69,5.76,농진청
R108-047000001-0000,블루베리_생것,100g,48,0.55,0.09,12.57,9.96,농진청
R108-047000002-0000,블루베리_말린것,100g,325,4.45,1.11,83.57,48.28,농진청
R108-047000008-0000,블루베리_얼린것,100g,41,0.81,0.26,10.07,6.64,농진청
R108-049000001-0000,비파_생것,100g,45,0.29,0.20,11.95,10.80,농진청
R108-050000001-0000,사과_생것,100g,57,0.20,0.66,14.11,10.93,농진청
R108-050020001-0000,사과_부사_생것,100g,56,0.20,0.77,13.58,11.13,농진청
R108-050037201-0000,사과_아오리_껍질제거_생것,100g,52,0.27,0.04,14.16,8.85,농진청
R108-050037301-0000,사과_아오리_껍질 포함_생것,100g,49,0.30,0.03,13.36,8.17,농진청
R108-050070001-0000,사과_홍옥_생것,100g,58,0.21,0.55,14.65,10.73,농진청
R108-054000001-0000,산딸기_생것,100g,55,1.35,0.22,13.55,7.80,농진청
R108-055007701-0000,산수유_열매_생것,100g,112,0.87,2.82,23.83,10.33,농진청
R108-055008602-0000,산수유_과육_말린것,100g,292,3.60,0.50,76.60,,농진청
R108-056000001-0000,살구_생것,100g,30,1.20,0.05,7.12,7.39,농진청
R108-056000002-0000,살구_말린것,100g,258,3.21,0.18,68.39,25.62,농진청
R108-059000001-0000,석류_생것,100g,77,0.29,0.20,20.71,9.94,농진청
R108-060000001-0000,소귀나무 열매_생것,100g,24,0.80,0.60,4.60,,농진청
R108-061030001-0000,수박_적육질_생것,100g,31,0.79,0.05,7.83,5.06,농진청
R108-061040001-0000,수박_황육질_생것,100g,36,0.65,0.05,9.26,5.53,농진청
R108-062000001-0000,산자나무 열매(씨벅톤)_생것,100g,70,1.00,3.80,9.70,,농진청
R108-063000001-0000,아떼모야_생것,100g,73,1.20,0.10,19.00,,농진청
R108-064000001-0000,아보카도_생것,100g,160,2.00,14.66,8.53,0.66,농진청
R108-065010001-0000,아세로라_감미종_생것,100g,36,0.70,0.10,9.00,,농진청
R108-066000001-0000,앵두_생것,100g,61,1.10,0.30,15.20,,농진청
R108-067000001-0000,엘더베리_생것,100g,73,0.66,0.50,18.40,,농진청
R108-068000001-0000,오디_생것,100g,56,0.80,0.40,14.00,,농진청
R108-068030001-0000,오디_재래종_생것,100g,54,2.60,0.30,12.00,,농진청
R108-069000001-0000,오렌지_생것,100g,47,0.92,0.16,11.81,9.21,농진청
R108-069020001-0000,오렌지_발렌시아_생것,100g,49,1.04,0.30,11.89,,농진청
R108-073000001-0000,오미자_생것,100g,81,2.10,3.30,12.80,,농진청
R108-073000002-0000,오미자_말린것,100g,362,8.50,13.50,61.30,,농진청
R108-076004500-0000,올리브 피클_숙과,100g,121,0.80,12.30,3.40,,농진청
R108-076008300-0000,올리브 피클_초록색,100g,137,1.09,12.36,5.34,0.00,농진청
R108-077010001-0000,용과_백육종_생것,100g,44,1.00,0.40,10.30,,농진청
R108-077020001-0000,용과_적육종_생것,100g,45,0.90,0.20,11.20,,농진청
R108-077030001-0000,용과_황색종_생것,100g,54,1.00,0.10,13.90,,농진청
R108-078007101-0000,유자_전체_생것,100g,49,0.93,0.09,12.54,4.10,농진청
R108-078007501-0000,유자_껍질_생것,100g,55,1.02,0.09,14.21,5.87,농진청
R108-078008601-0000,유자_과육_생것,100g,40,0.87,0.06,10.28,2.24,농진청
R108-081000001-0000,으름_생것,100g,158,2.00,12.90,11.90,,농진청
R108-082000001-0000,자두_생것,100g,26,0.50,0.60,5.30,,농진청
R108-082000002-0000,자두_말린것,100g,240,2.18,0.38,63.88,38.13,농진청
R108-082010001-0000,자두_ 대석_ 생것,100g,32,0.60,,8.40,,농진청
R108-082040001-0000,자두_후무사_생것,100g,44,0.64,0.05,11.47,8.92,농진청
R108-084000001-0000,자몽(그레이프프루트)_생것,100g,32,0.84,0.05,7.92,4.20,농진청
R108-086004101-0000,참외_씨 제거_생것,100g,40,0.59,0.04,10.49,8.82,농진청
R108-086007401-0000,참외_씨 포함_생것,100g,43,1.00,0.40,10.15,8.29,농진청
R108-088000001-0000,크랜베리_생것,100g,46,0.46,0.13,11.97,4.27,농진청
R108-088000089-0000,크랜베리_말린것에 당류를 가한것,100g,314,0.25,0.58,85.73,74.30,농진청
R108-090010001-0000,키위_골드_생것,100g,54,0.77,0.26,13.73,7.07,농진청
R108-090020001-0000,키위_그린_생것,100g,66,0.93,0.63,16.08,6.73,농진청
R108-091000001-0000,탱자_생것,100g,84,1.30,1.50,18.50,,농진청
R108-092000001-0000,파인애플_생것,100g,53,0.48,0.06,14.05,10.92,농진청
R108-095004501-0000,파파야_완숙_생것,100g,40,0.70,0.08,10.24,8.78,농진청
R108-095008501-0000,파파야_미숙_생것,100g,23,0.45,0.05,5.95,1.73,농진청
R108-096000001-0000,백향과(패션프루트)_생것,100g,100,1.68,1.55,22.58,8.58,농진청
R108-097004400-0000,백향과(패션프루트) 주스_천연과즙,100g,67,0.80,0.40,16.20,4.00,농진청
R108-097004600-0000,백향과(패션프루트) 주스_황색과육,100g,60,0.67,0.18,14.45,14.25,농진청
R108-097004800-0000,백향과(패션프루트) 주스_자색과육,100g,51,0.39,0.05,13.60,13.40,농진청
R108-098000002-0000,포도_말린것,100g,297,2.64,0.53,78.89,66.71,농진청
R108-098010001-0000,포도_거봉_생것,100g,60,0.40,0.27,15.73,13.74,농진청
R108-098017301-0000,포도_거봉_껍질 포함_생것,100g,68,0.59,0.05,18.25,12.32,농진청
R108-098030001-0000,포도_델라웨어_생것,100g,67,0.60,0.10,17.90,,농진청
R108-098040001-0000,포도_마스캇함브르그_생것,100g,66,0.50,0.20,17.30,,농진청
R108-098050001-0000,포도_세레단_생것,100g,58,0.60,0.10,15.40,,농진청
R108-098070001-0000,포도_캠벨얼리_생것,100g,57,0.50,0.10,15.08,11.90,농진청
R108-098074201-0000,포도_캠벨얼리_껍질+씨포함_생것,100g,58,0.71,0.13,15.01,8.46,농진청
R108-098077301-0000,포도_캠벨얼리_껍질 포함_생것,100g,51,0.61,0.05,13.59,9.16,농진청
R108-098080001-0000,포도_청포도(힘로드시드레스)_생것,100g,47,0.41,0.03,12.63,7.94,농진청
R108-098087301-0000,포도_청포도(힘로드시드레스)_껍질 포함_생것,100g,45,0.42,0.03,12.10,8.48,농진청
R108-098097301-0000,포도_청포도(샤인머스켓)_껍질 포함_생것,100g,66,0.38,0.10,17.66,15.29,농진청
R108-098107301-0000,포도_나르샤_껍질 포함_생것,100g,58,0.55,0.22,15.18,12.94,농진청
R108-098110001-0000,포도_두누리_생것,100g,57,0.44,0.25,14.82,13.87,농진청
R108-098127301-0000,포도_레드글로브_껍질 포함_생것,100g,57,0.40,0.24,14.91,11.42,농진청
R108-098130001-0000,포도_새마루_생것,100g,54,0.46,0.15,14.28,11.74,농진청
R108-098140001-0000,포도_수옥_생것,100g,69,0.20,0.18,18.50,16.70,농진청
R108-098157301-0000,포도_스텔라_껍질 포함_생것,100g,50,0.70,0.16,12.75,11.59,농진청
R108-098160001-0000,포도_진옥_생것,100g,52,0.45,0.08,13.88,12.43,농진청
R108-098170001-0000,포도_탄금추_생것,100g,50,0.35,0.15,13.13,12.72,농진청
R108-098180001-0000,포도_탐나라_생것,100g,49,0.40,0.06,13.14,12.30,농진청
R108-098190001-0000,포도_홍단_생것,100g,59,0.37,0.13,15.75,14.84,농진청
R108-098200001-0000,포도_홍아람_생것,100g,57,0.39,0.09,15.40,15.30,농진청
R108-098210001-0000,포도_홍이슬_생것,100g,53,0.31,0.06,14.16,13.01,농진청
R108-098227301-0000,포도_홍주씨들레스_껍질 포함_생것,100g,68,0.29,0.17,18.11,16.04,농진청
R108-098230001-0000,포도_흑구슬_생것,100g,62,0.27,0.60,15.68,14.64,농진청
R108-098240001-0000,포도_흑보석_생것,100g,52,0.30,0.15,13.90,12.69,농진청
R108-098250001-0000,포도_청포도(샤이니스타)_생것,100g,76,0.49,0.22,20.20,17.07,농진청
R108-098260001-0000,포도_청포도(청수)_생것,100g,65,0.33,0.07,17.48,16.45,농진청
R108-106004400-0000,포도즙_천연과즙,100g,48,0.66,0.01,12.62,9.71,농진청
R108-110010001-0000,아로니아_네로_생것,100g,60,0.82,0.21,15.41,4.49,농진청
R108-110020008-0000,아로니아_바이킹_얼린것,100g,68,1.08,0.23,17.45,4.44,농진청
R108-111000001-0000,체리_생것,100g,67,1.59,0.06,16.90,6.80,농진청
R108-113000001-0000,플럼코트_생것,100g,47,0.61,1.05,9.97,7.50,농진청
R108-114007701-0000,꾸지뽕_열매_생것,100g,74,1.74,2.16,13.82,9.90,농진청
R108-115000001-0000,라즈베리_생것,100g,52,1.20,0.65,11.94,4.42,농진청
R108-115000008-0000,라즈베리_얼린것,100g,56,1.15,0.81,12.55,6.54,농진청
R108-116000001-0000,망고스틴_생것,100g,71,0.60,0.20,17.50,,농진청
R108-117000001-0000,구즈베리_생것,100g,51,1.00,0.10,13.20,10.90,농진청
