food_code,name,basis_unit,per100_kcal,per100_protein_g,per100_fat_g,per100_carb_g,per100_sugar_g,source
R211-143014001-0001,보구치_육_생것_대표_1월,100g,200,19.30,4.44,0.00,,수산과학원
R211-143014001-0002,보구치_육_생것_대표_2월,100g,203,20.63,2.13,0.00,,수산과학원
R211-143014001-0003,보구치_육_생것_대표_3월,100g,190,19.42,1.75,0.00,,수산과학원
R211-143014001-0004,보구치_육_생것_대표_4월,100g,106,19.35,2.55,0.00,,수산과학원
R211-143014001-0005,보구치_육_생것_대표_5월,100g,201,20.23,2.49,0.00,,수산과학원
R211-143014001-0006,보구치_육_생것_대표_6월,100g,201,20.63,1.72,0.00,,수산과학원
R211-143014001-0007,보구치_육_생것_대표_7월,100g,186,19.23,1.12,0.00,,수산과학원
R211-143014001-0009,보구치_육_생것_대표_9월,100g,193,19.67,1.79,0.00,,수산과학원
R211-143014001-0757,보구치_육_생것_여수_4월,100g,103,18.21,2.77,0.00,,수산과학원
R211-143014001-0759,보구치_육_생것_여수_6월,100g,119,19.30,3.90,0.30,0.30,수산과학원
R211-143014001-0906,보구치_육_생것_통영_10월,100g,108,19.31,2.86,0.00,,수산과학원
R211-143014001-0907,보구치_육_생것_통영_11월,100g,99,19.76,1.57,0.18,,수산과학원
R211-143014001-0908,보구치_육_생것_통영_12월,100g,110,18.78,3.26,0.00,,수산과학원
R211-143014001-0897,보구치_육_생것_통영_1월,100g,101,19.13,2.15,0.00,,수산과학원
R211-143014001-0898,보구치_육_생것_통영_2월,100g,105,19.00,2.68,0.00,,수산과학원
R211-143014001-0899,보구치_육_생것_통영_3월,100g,109,19.83,2.73,0.00,,수산과학원
R211-143014001-0900,보구치_육_생것_통영_4월,100g,102,18.98,2.37,0.00,,수산과학원
R211-143014001-0901,보구치_육_생것_통영_5월,100g,106,19.77,2.43,0.00,,수산과학원
R211-143014001-0902,보구치_육_생것_통영_6월,100g,120,19.52,3.96,0.00,,수산과학원
R211-143014001-0903,보구치_육_생것_통영_7월,100g,103,18.29,2.27,1.13,,수산과학원
R211-143014001-0904,보구치_육_생것_통영_8월,100g,107,18.16,3.27,0.00,,수산과학원
R211-143014001-0905,보구치_육_생것_통영_9월,100g,94,18.25,1.50,0.73,,수산과학원
R211-145014001-0766,보리멸류_보리멸_육_생것_여수_평균,100g,93,19.50,1.10,0.00,0.00,수산과학원
R211-145014008-0000,보리멸류_보리멸_육_얼린것_대표_평균,100g,109,19.60,1.50,0.30,,수산과학원
R211-147014001-1123,복류_검복_육_생것_양양_6월,100g,94,21.50,0.30,0.10,0.10,수산과학원
R211-147014012-0000,복류_검복_육_조미하여 말린것_대표_평균,100g,313,47.70,2.30,17.60,,수산과학원
